date,open,high,low,close,volume,average,barCount
2025-02-03 09:30:00-05:00,114.76,114.8,113.01,113.73,12803276.0,114.46,17002
2025-02-03 09:31:00-05:00,113.73,114.47,113.46,114.27,2379659.0,113.959,7634
2025-02-03 09:32:00-05:00,114.3,114.99,114.27,114.95,1877680.0,114.622,6056
2025-02-03 09:33:00-05:00,114.98,114.99,114.2,114.35,1804341.0,114.618,6626
2025-02-03 09:34:00-05:00,114.37,114.65,114.0,114.41,2045727.0,114.271,7699
2025-02-03 09:35:00-05:00,114.38,114.48,113.74,114.03,1987562.0,114.038,7883
2025-02-03 09:36:00-05:00,114.01,114.1,113.35,113.59,2181817.0,113.639,8226
2025-02-03 09:37:00-05:00,113.58,113.98,113.43,113.83,1711597.0,113.713,5862
2025-02-03 09:38:00-05:00,113.81,113.84,113.35,113.65,1875252.0,113.582,6557
2025-02-03 09:39:00-05:00,113.65,114.18,113.35,114.08,2093568.0,113.801,7256
2025-02-03 09:40:00-05:00,114.08,114.08,113.62,113.89,1325489.0,113.81,4875
2025-02-03 09:41:00-05:00,113.9,114.41,113.74,114.39,1490594.0,114.1,4880
2025-02-03 09:42:00-05:00,114.39,114.62,114.11,114.46,1687795.0,114.45,5606
2025-02-03 09:43:00-05:00,114.47,114.99,114.27,114.62,1681151.0,114.675,6488
2025-02-03 09:44:00-05:00,114.62,114.7,114.34,114.47,1339222.0,114.543,4739
2025-02-03 09:45:00-05:00,114.45,114.67,114.01,114.32,1302913.0,114.295,4432
2025-02-03 09:46:00-05:00,114.3,114.4,113.55,113.69,2000205.0,113.899,6679
2025-02-03 09:47:00-05:00,113.67,114.02,113.51,113.94,1382577.0,113.748,4680
2025-02-03 09:48:00-05:00,113.93,114.04,113.68,113.88,902613.0,113.835,3312
2025-02-03 09:49:00-05:00,113.9,114.06,113.51,113.57,1303337.0,113.787,5179
2025-02-03 09:50:00-05:00,113.56,114.06,113.56,113.96,1109656.0,113.843,3770
2025-02-03 09:51:00-05:00,113.95,114.14,113.65,114.06,906238.0,113.892,3598
2025-02-03 09:52:00-05:00,114.06,114.28,113.27,113.67,1960865.0,113.612,7202
2025-02-03 09:53:00-05:00,113.67,113.8,113.37,113.57,975944.0,113.531,4229
2025-02-03 09:54:00-05:00,113.56,113.92,113.51,113.78,1074138.0,113.674,4104
2025-02-03 09:55:00-05:00,113.78,114.1,113.7,113.83,1013352.0,113.873,4035
2025-02-03 09:56:00-05:00,113.82,114.54,113.82,114.5,1431434.0,114.21,5136
2025-02-03 09:57:00-05:00,114.52,114.92,114.3,114.37,1408012.0,114.626,4973
2025-02-03 09:58:00-05:00,114.38,114.89,114.36,114.87,1038838.0,114.686,3924
2025-02-03 09:59:00-05:00,114.86,114.99,114.58,114.74,1135034.0,114.849,4096
2025-02-03 10:00:00-05:00,114.68,115.17,114.5,114.77,2079865.0,114.904,6305
2025-02-03 10:01:00-05:00,114.74,115.25,114.67,114.87,1175843.0,115.001,4533
2025-02-03 10:02:00-05:00,114.88,114.89,114.0,114.29,1315493.0,114.345,4869
2025-02-03 10:03:00-05:00,114.29,114.36,113.86,114.09,1181200.0,114.052,4351
2025-02-03 10:04:00-05:00,114.1,114.18,113.76,114.01,984775.0,113.954,3370
2025-02-03 10:05:00-05:00,114.0,114.48,113.89,114.04,971438.0,114.176,3745
2025-02-03 10:06:00-05:00,114.05,114.29,113.91,114.22,726180.0,114.102,2626
2025-02-03 10:07:00-05:00,114.22,114.22,113.88,114.0,871517.0,113.993,3314
2025-02-03 10:08:00-05:00,114.01,114.66,113.94,114.49,1023372.0,114.285,4234
2025-02-03 10:09:00-05:00,114.48,114.97,114.4,114.87,1033270.0,114.769,4026
2025-02-03 10:10:00-05:00,114.86,114.89,114.47,114.51,854753.0,114.65,3724
2025-02-03 10:11:00-05:00,114.51,114.61,114.24,114.26,996164.0,114.409,4092
2025-02-03 10:12:00-05:00,114.26,114.46,114.1,114.39,726446.0,114.289,3277
2025-02-03 10:13:00-05:00,114.37,114.45,114.11,114.24,759163.0,114.3,2944
2025-02-03 10:14:00-05:00,114.24,114.29,113.7,113.87,1354578.0,113.896,5006
2025-02-03 10:15:00-05:00,113.87,113.99,113.78,113.94,889967.0,113.878,3359
2025-02-03 10:16:00-05:00,113.95,114.25,113.91,114.09,734383.0,114.072,2898
2025-02-03 10:17:00-05:00,114.08,114.13,113.61,113.72,1056147.0,113.739,4276
2025-02-03 10:18:00-05:00,113.72,113.97,113.64,113.96,778271.0,113.776,3005
2025-02-03 10:19:00-05:00,113.96,114.04,113.71,113.78,677071.0,113.847,2532
2025-02-03 10:20:00-05:00,113.78,114.05,113.78,113.98,665217.0,113.936,2816
2025-02-03 10:21:00-05:00,113.98,114.99,113.98,114.93,1732705.0,114.457,6266
2025-02-03 10:22:00-05:00,114.94,115.05,114.64,114.95,1707559.0,114.926,6274
2025-02-03 10:23:00-05:00,114.95,115.45,114.89,115.03,1933478.0,115.199,7187
2025-02-03 10:24:00-05:00,115.03,115.93,114.92,115.74,1805161.0,115.569,6945
2025-02-03 10:25:00-05:00,115.75,116.39,115.74,116.07,2096905.0,116.119,7628
2025-02-03 10:26:00-05:00,116.06,116.25,115.37,115.61,1429533.0,115.816,5461
2025-02-03 10:27:00-05:00,115.62,116.08,115.51,115.76,1060643.0,115.84,4074
2025-02-03 10:28:00-05:00,115.73,115.85,115.1,115.31,1157328.0,115.404,4217
2025-02-03 10:29:00-05:00,115.3,115.9,115.25,115.76,944539.0,115.606,3724
2025-02-03 10:30:00-05:00,115.75,115.95,115.42,115.67,977217.0,115.715,4484
2025-02-03 10:31:00-05:00,115.67,116.55,115.62,116.18,1526848.0,116.278,5970
2025-02-03 10:32:00-05:00,116.17,116.52,116.12,116.4,941389.0,116.354,3957
2025-02-03 10:33:00-05:00,116.38,116.8,116.18,116.78,1137508.0,116.545,4295
2025-02-03 10:34:00-05:00,116.76,116.84,116.36,116.74,1130301.0,116.67,4703
2025-02-03 10:35:00-05:00,116.75,116.99,116.31,116.88,1221623.0,116.731,4217
2025-02-03 10:36:00-05:00,116.93,117.06,116.53,116.62,1473786.0,116.858,4588
2025-02-03 10:37:00-05:00,116.61,116.73,116.33,116.35,939980.0,116.562,2988
2025-02-03 10:38:00-05:00,116.35,116.42,115.81,116.04,1255320.0,116.058,4131
2025-02-03 10:39:00-05:00,116.02,116.33,115.98,116.21,777865.0,116.147,2762
2025-02-03 10:40:00-05:00,116.2,116.29,116.03,116.12,627971.0,116.157,2731
2025-02-03 10:41:00-05:00,116.13,117.2,116.05,117.07,1313546.0,116.774,4679
2025-02-03 10:42:00-05:00,117.06,117.45,116.96,117.4,1160617.0,117.192,4153
