date,open,high,low,close,volume,average,barCount
2025-01-31 09:30:00-05:00,401.5,404.32,401.34,403.21,701223.0,402.246,2365
2025-01-31 09:31:00-05:00,402.96,406.36,401.9,406.0,526987.0,404.578,2673
2025-01-31 09:32:00-05:00,406.05,406.47,403.34,403.86,327133.0,404.727,1739
2025-01-31 09:33:00-05:00,403.65,405.76,403.11,405.26,311955.0,404.634,1556
2025-01-31 09:34:00-05:00,405.41,407.09,404.14,406.97,431725.0,405.901,1973
2025-01-31 09:35:00-05:00,406.98,407.48,404.93,405.08,382907.0,406.387,1926
2025-01-31 09:36:00-05:00,404.93,405.83,404.44,405.37,287950.0,405.046,1505
2025-01-31 09:37:00-05:00,405.37,408.24,405.34,407.4,504087.0,407.188,1976
2025-01-31 09:38:00-05:00,407.5,408.29,407.13,407.98,467896.0,407.847,1949
2025-01-31 09:39:00-05:00,408.04,409.25,407.35,409.14,373657.0,408.509,1824
2025-01-31 09:40:00-05:00,409.23,410.7,408.84,410.17,532707.0,409.758,2189
2025-01-31 09:41:00-05:00,410.19,411.75,410.04,411.26,485555.0,411.103,2209
2025-01-31 09:42:00-05:00,411.13,411.49,409.33,410.54,337537.0,410.449,1590
2025-01-31 09:43:00-05:00,410.54,411.2,409.6,410.28,397918.0,410.467,1916
2025-01-31 09:44:00-05:00,410.24,412.75,409.83,412.07,588556.0,411.625,2851
2025-01-31 09:45:00-05:00,412.05,413.09,410.58,410.61,490784.0,412.067,2320
2025-01-31 09:46:00-05:00,410.58,411.75,410.58,411.26,238069.0,411.146,1134
2025-01-31 09:47:00-05:00,411.2,413.25,410.81,413.07,399398.0,412.201,1984
2025-01-31 09:48:00-05:00,413.0,413.11,411.26,411.49,280435.0,412.094,1498
2025-01-31 09:49:00-05:00,411.43,412.13,411.01,411.5,272831.0,411.691,1418
2025-01-31 09:50:00-05:00,411.65,412.28,410.85,411.21,295862.0,411.588,1474
2025-01-31 09:51:00-05:00,411.22,412.23,410.85,411.95,242428.0,411.66,1224
2025-01-31 09:52:00-05:00,412.0,413.19,411.11,411.15,476604.0,412.508,2196
2025-01-31 09:53:00-05:00,411.15,411.97,410.9,411.8,226411.0,411.365,1127
2025-01-31 09:54:00-05:00,411.89,413.75,411.61,413.63,358819.0,412.751,1720
2025-01-31 09:55:00-05:00,413.51,414.08,412.81,413.03,474496.0,413.591,1991
2025-01-31 09:56:00-05:00,412.97,413.24,412.09,412.83,215829.0,412.699,1130
2025-01-31 09:57:00-05:00,412.81,413.44,412.3,412.88,183945.0,412.869,982
2025-01-31 09:58:00-05:00,412.81,413.95,412.41,413.43,234149.0,413.428,1172
2025-01-31 09:59:00-05:00,413.49,414.85,413.21,414.82,357485.0,414.224,1630
2025-01-31 10:00:00-05:00,414.8,416.17,414.36,416.12,613702.0,415.415,2680
2025-01-31 10:01:00-05:00,416.11,416.69,415.4,416.22,395629.0,415.943,1873
2025-01-31 10:02:00-05:00,416.28,417.18,415.61,416.6,351221.0,416.506,1850
2025-01-31 10:03:00-05:00,416.6,417.14,416.0,416.92,323414.0,416.596,1662
2025-01-31 10:04:00-05:00,416.9,417.17,416.5,416.67,322334.0,416.898,1692
2025-01-31 10:05:00-05:00,416.68,417.36,415.75,415.89,389914.0,416.591,1799
2025-01-31 10:06:00-05:00,415.9,416.2,414.89,415.44,304728.0,415.639,1476
2025-01-31 10:07:00-05:00,415.29,415.71,414.9,415.12,212148.0,415.272,921
2025-01-31 10:08:00-05:00,415.13,415.98,415.01,415.8,165741.0,415.515,923
2025-01-31 10:09:00-05:00,415.82,417.33,415.65,417.19,360033.0,416.598,1775
2025-01-31 10:10:00-05:00,417.15,417.79,416.15,416.29,336352.0,417.102,1698
2025-01-31 10:11:00-05:00,416.36,417.23,415.68,417.18,233665.0,416.292,1195
2025-01-31 10:12:00-05:00,417.13,417.93,415.88,415.99,300757.0,416.831,1384
2025-01-31 10:13:00-05:00,415.98,416.42,415.6,416.31,189845.0,415.994,886
2025-01-31 10:14:00-05:00,416.3,416.38,414.83,415.15,207062.0,415.389,917
2025-01-31 10:15:00-05:00,415.15,415.26,414.15,414.19,269412.0,414.554,1217
2025-01-31 10:16:00-05:00,414.21,415.17,414.18,414.5,181183.0,414.669,830
2025-01-31 10:17:00-05:00,414.48,415.32,414.4,414.84,146148.0,415.039,665
2025-01-31 10:18:00-05:00,414.86,415.49,414.63,414.91,193573.0,415.122,958
2025-01-31 10:19:00-05:00,414.9,415.05,414.12,414.25,180102.0,414.552,811
2025-01-31 10:20:00-05:00,414.2,414.49,413.54,413.79,233777.0,414.002,1064
2025-01-31 10:21:00-05:00,413.84,415.2,413.37,415.08,255501.0,414.169,1239
2025-01-31 10:22:00-05:00,415.13,416.39,414.94,415.81,273208.0,415.835,1251
2025-01-31 10:23:00-05:00,415.79,416.38,415.65,415.68,135756.0,416.022,705
2025-01-31 10:24:00-05:00,415.74,416.83,415.45,415.93,228394.0,416.155,1226
2025-01-31 10:25:00-05:00,416.02,416.49,415.71,416.09,131138.0,416.069,672
2025-01-31 10:26:00-05:00,416.16,416.83,415.55,415.99,180776.0,416.286,890
2025-01-31 10:27:00-05:00,415.95,416.25,415.6,415.65,86547.0,415.879,398
2025-01-31 10:28:00-05:00,415.69,415.75,414.62,414.8,166088.0,415.116,793
2025-01-31 10:29:00-05:00,414.99,415.03,414.34,414.78,163991.0,414.638,854
2025-01-31 10:30:00-05:00,414.71,415.3,414.13,414.98,193417.0,414.685,974
2025-01-31 10:31:00-05:00,414.98,415.33,414.39,414.92,124064.0,414.923,736
2025-01-31 10:32:00-05:00,414.93,415.22,414.3,414.35,104166.0,414.788,649
2025-01-31 10:33:00-05:00,414.3,415.17,414.15,415.07,115786.0,414.777,717
2025-01-31 10:34:00-05:00,415.0,415.45,414.5,415.34,111125.0,415.151,593
2025-01-31 10:35:00-05:00,415.26,415.69,414.83,414.86,102558.0,415.311,532
2025-01-31 10:36:00-05:00,414.81,415.25,414.25,414.85,84866.0,414.692,432
2025-01-31 10:37:00-05:00,414.77,414.88,413.88,414.29,150719.0,414.252,615
2025-01-31 10:38:00-05:00,414.29,415.67,414.17,415.65,139432.0,415.109,610
2025-01-31 10:39:00-05:00,415.59,416.75,415.46,416.16,270578.0,416.329,1265
2025-01-31 10:40:00-05:00,416.19,416.98,416.15,416.87,206895.0,416.742,998
2025-01-31 10:41:00-05:00,416.9,416.9,416.05,416.65,124208.0,416.383,602
2025-01-31 10:42:00-05:00,416.55,416.95,415.97,416.87,120031.0,416.405,592
2025-01-31 10:43:00-05:00,416.87,417.55,416.78,417.55,311539.0,417.216,1317
2025-01-31 10:44:00-05:00,417.55,418.4,417.36,418.19,403704.0,417.998,1656
2025-01-31 10:45:00-05:00,418.19,418.44,417.22,417.72,200343.0,417.815,969
2025-01-31 10:46:00-05:00,417.73,418.39,417.49,417.65,163354.0,417.932,753
2025-01-31 10:47:00-05:00,417.65,417.72,416.74,416.95,158513.0,417.186,728
2025-01-31 10:48:00-05:00,416.98,417.2,416.4,416.69,131890.0,416.784,628
2025-01-31 10:49:00-05:00,416.64,417.19,416.64,417.09,108865.0,416.976,611
2025-01-31 10:50:00-05:00,417.07,417.36,416.6,416.67,103205.0,417.045,530
2025-01-31 10:51:00-05:00,416.68,416.69,415.73,416.38,163608.0,416.144,697
2025-01-31 10:52:00-05:00,416.41,417.11,416.37,416.9,101177.0,416.76,498
2025-01-31 10:53:00-05:00,416.95,416.95,416.01,416.53,92636.0,416.333,533
2025-01-31 10:54:00-05:00,416.54,416.75,416.04,416.74,74600.0,416.454,368
2025-01-31 10:55:00-05:00,416.73,417.36,416.5,416.85,107167.0,416.97,551
2025-01-31 10:56:00-05:00,416.79,417.07,416.21,416.67,111025.0,416.661,411
2025-01-31 10:57:00-05:00,416.59,416.79,416.09,416.38,77817.0,416.384,358
2025-01-31 10:58:00-05:00,416.37,416.48,415.8,416.14,85635.0,416.099,407
2025-01-31 10:59:00-05:00,416.16,416.21,415.44,415.66,131646.0,415.77,573
2025-01-31 11:00:00-05:00,415.68,416.3,415.59,415.91,108559.0,415.864,438
2025-01-31 11:01:00-05:00,415.96,416.1,415.34,416.02,101799.0,415.699,577
2025-01-31 11:02:00-05:00,416.02,416.03,415.22,415.5,62037.0,415.567,325
2025-01-31 11:03:00-05:00,415.4,415.98,415.2,415.74,79251.0,415.595,411
2025-01-31 11:04:00-05:00,415.77,415.82,414.77,415.04,149046.0,415.099,621
2025-01-31 11:05:00-05:00,415.0,415.06,414.5,414.66,122978.0,414.806,575
2025-01-31 11:06:00-05:00,414.6,415.18,414.11,415.07,181935.0,414.543,778
2025-01-31 11:07:00-05:00,415.06,415.13,414.61,415.0,83469.0,414.837,416
2025-01-31 11:08:00-05:00,414.93,414.95,414.41,414.7,81338.0,414.688,343
2025-01-31 11:09:00-05:00,414.71,414.92,414.5,414.73,53646.0,414.749,271
2025-01-31 11:10:00-05:00,414.82,415.35,414.81,415.08,119335.0,415.074,479
2025-01-31 11:11:00-05:00,415.08,415.2,414.32,414.61,109586.0,414.699,580
2025-01-31 11:12:00-05:00,414.56,415.07,414.56,414.73,42122.0,414.848,241
2025-01-31 11:13:00-05:00,414.78,415.14,414.63,414.78,85317.0,414.939,455
2025-01-31 11:14:00-05:00,414.81,415.34,414.5,415.12,91789.0,414.944,521
2025-01-31 11:15:00-05:00,415.17,415.22,414.63,414.97,50907.0,414.945,322
2025-01-31 11:16:00-05:00,414.95,415.23,414.83,415.01,62178.0,415.042,360
2025-01-31 11:17:00-05:00,414.97,415.07,414.67,414.9,59612.0,414.881,344
2025-01-31 11:18:00-05:00,414.88,416.16,414.8,415.89,208227.0,415.654,946
2025-01-31 11:19:00-05:00,415.94,416.33,415.74,416.18,103028.0,416.032,527
2025-01-31 11:20:00-05:00,416.22,416.59,415.9,416.32,112669.0,416.304,541
2025-01-31 11:21:00-05:00,416.31,416.32,415.36,415.86,94077.0,415.773,446
2025-01-31 11:22:00-05:00,415.92,416.07,415.43,415.65,61990.0,415.755,361
2025-01-31 11:23:00-05:00,415.66,416.15,415.52,416.04,70161.0,415.825,402
2025-01-31 11:24:00-05:00,416.1,416.11,415.76,415.99,67416.0,415.987,290
2025-01-31 11:25:00-05:00,416.02,416.02,415.58,415.67,46926.0,415.794,273
2025-01-31 11:26:00-05:00,415.67,415.74,414.94,415.72,109208.0,415.266,459
2025-01-31 11:27:00-05:00,415.69,415.88,415.22,415.7,63197.0,415.532,293
2025-01-31 11:28:00-05:00,415.7,415.78,414.96,415.2,61184.0,415.248,307
2025-01-31 11:29:00-05:00,415.23,415.48,415.01,415.02,52612.0,415.231,300
2025-01-31 11:30:00-05:00,415.14,415.36,414.8,415.33,79461.0,415.05,339
2025-01-31 11:31:00-05:00,415.3,415.87,415.18,415.66,86909.0,415.566,388
2025-01-31 11:32:00-05:00,415.67,416.0,415.58,415.86,99042.0,415.866,462
2025-01-31 11:33:00-05:00,415.9,416.62,415.9,416.21,116578.0,416.384,551
2025-01-31 11:34:00-05:00,416.17,416.6,416.06,416.55,108106.0,416.371,468
2025-01-31 11:35:00-05:00,416.56,416.75,416.19,416.65,94615.0,416.459,459
2025-01-31 11:36:00-05:00,416.63,417.0,416.52,416.64,99387.0,416.792,472
2025-01-31 11:37:00-05:00,416.69,417.11,416.66,416.85,152957.0,416.937,646
2025-01-31 11:38:00-05:00,416.88,416.88,416.12,416.45,81187.0,416.386,435
2025-01-31 11:39:00-05:00,416.43,416.64,415.7,415.89,96382.0,416.151,462
2025-01-31 11:40:00-05:00,415.9,416.65,415.8,416.59,55019.0,416.335,292
2025-01-31 11:41:00-05:00,416.59,416.78,416.33,416.56,55474.0,416.629,345
2025-01-31 11:42:00-05:00,416.53,416.98,416.41,416.69,56038.0,416.775,290
2025-01-31 11:43:00-05:00,416.64,416.99,416.17,416.99,85795.0,416.606,417
2025-01-31 11:44:00-05:00,416.99,417.15,416.61,416.73,160411.0,416.908,717
2025-01-31 11:45:00-05:00,416.73,416.89,416.5,416.6,64462.0,416.68,241
2025-01-31 11:46:00-05:00,416.7,416.96,416.27,416.85,61167.0,416.563,293
2025-01-31 11:47:00-05:00,416.84,416.95,416.4,416.9,65279.0,416.663,299
2025-01-31 11:48:00-05:00,416.9,417.22,416.7,416.89,99612.0,416.998,425
2025-01-31 11:49:00-05:00,416.83,417.2,416.76,416.85,85646.0,417.025,413
2025-01-31 11:50:00-05:00,416.83,416.86,416.31,416.35,72185.0,416.51,320
2025-01-31 11:51:00-05:00,416.4,417.0,416.31,416.66,74563.0,416.706,374
2025-01-31 11:52:00-05:00,416.63,416.9,416.31,416.74,54525.0,416.591,234
2025-01-31 11:53:00-05:00,416.78,417.07,416.67,416.96,63484.0,416.93,319
2025-01-31 11:54:00-05:00,416.94,418.21,416.83,417.91,397463.0,417.635,1202
2025-01-31 11:55:00-05:00,417.91,418.43,417.54,417.61,202551.0,418.078,814
2025-01-31 11:56:00-05:00,417.6,418.83,417.6,418.4,260830.0,418.281,1149
2025-01-31 11:57:00-05:00,418.44,418.5,417.91,418.19,120763.0,418.337,577
2025-01-31 11:58:00-05:00,418.19,418.73,418.17,418.23,192780.0,418.498,572
2025-01-31 11:59:00-05:00,418.18,418.73,417.9,418.64,128134.0,418.322,668
2025-01-31 12:00:00-05:00,418.59,418.98,418.0,418.03,192253.0,418.613,911
2025-01-31 12:01:00-05:00,418.1,418.15,417.57,418.04,133631.0,417.897,627
2025-01-31 12:02:00-05:00,418.07,418.31,417.86,418.22,78440.0,418.129,361
2025-01-31 12:03:00-05:00,418.2,418.48,418.04,418.4,58475.0,418.255,264
2025-01-31 12:04:00-05:00,418.39,418.4,417.91,418.09,62147.0,418.125,324
2025-01-31 12:05:00-05:00,418.03,418.12,417.4,417.62,105635.0,417.676,560
2025-01-31 12:06:00-05:00,417.68,417.87,417.44,417.86,85476.0,417.619,500
2025-01-31 12:07:00-05:00,417.83,418.7,417.73,418.36,150887.0,418.399,637
2025-01-31 12:08:00-05:00,418.41,418.64,417.65,418.56,96111.0,418.267,453
2025-01-31 12:09:00-05:00,418.59,418.71,418.0,418.66,99479.0,418.397,393
2025-01-31 12:10:00-05:00,418.67,418.8,418.3,418.3,82489.0,418.602,422
2025-01-31 12:11:00-05:00,418.25,418.5,417.95,418.45,91674.0,418.269,343
2025-01-31 12:12:00-05:00,418.44,418.75,418.44,418.67,65451.0,418.593,335
2025-01-31 12:13:00-05:00,418.67,418.97,418.51,418.78,89513.0,418.783,441
2025-01-31 12:14:00-05:00,418.74,419.47,418.65,419.32,220876.0,419.135,1081
2025-01-31 12:15:00-05:00,419.28,419.79,419.18,419.69,216573.0,419.506,1102
2025-01-31 12:16:00-05:00,419.7,419.76,418.67,418.97,152799.0,419.305,789
2025-01-31 12:17:00-05:00,418.98,419.92,418.82,419.83,155089.0,419.411,659
2025-01-31 12:18:00-05:00,419.82,419.99,419.58,419.79,200190.0,419.893,785
2025-01-31 12:19:00-05:00,419.79,419.88,419.12,419.18,121345.0,419.495,625
2025-01-31 12:20:00-05:00,419.21,419.47,418.65,419.36,125787.0,419.019,653
2025-01-31 12:21:00-05:00,419.34,419.55,419.03,419.49,75993.0,419.326,366
2025-01-31 12:22:00-05:00,419.38,419.55,419.14,419.2,79939.0,419.343,357
2025-01-31 12:23:00-05:00,419.14,419.75,419.14,419.7,68371.0,419.424,334
2025-01-31 12:24:00-05:00,419.71,419.71,419.2,419.46,71184.0,419.405,409
2025-01-31 12:25:00-05:00,419.5,419.5,418.85,419.0,87948.0,419.116,473
2025-01-31 12:26:00-05:00,418.97,419.08,418.55,418.79,92601.0,418.767,533
2025-01-31 12:27:00-05:00,418.69,418.81,418.2,418.21,125197.0,418.513,651
2025-01-31 12:28:00-05:00,418.25,418.32,417.25,417.77,231583.0,417.772,945
2025-01-31 12:29:00-05:00,417.8,418.55,417.7,418.46,88997.0,418.149,433
2025-01-31 12:30:00-05:00,418.55,418.71,418.11,418.38,77093.0,418.494,340
2025-01-31 12:31:00-05:00,418.25,418.31,417.71,418.14,57200.0,417.989,306
2025-01-31 12:32:00-05:00,418.08,418.16,417.59,417.96,54839.0,417.869,283
2025-01-31 12:33:00-05:00,417.91,417.97,417.5,417.94,77846.0,417.693,402
2025-01-31 12:34:00-05:00,417.89,418.3,417.4,418.25,108516.0,417.841,513
2025-01-31 12:35:00-05:00,418.23,418.6,417.7,417.82,85358.0,418.268,429
2025-01-31 12:36:00-05:00,417.7,417.91,417.53,417.67,64426.0,417.664,300
2025-01-31 12:37:00-05:00,417.66,418.18,417.6,417.68,78200.0,417.883,302
2025-01-31 12:38:00-05:00,417.7,417.98,417.55,417.93,57206.0,417.689,293
2025-01-31 12:39:00-05:00,417.98,418.25,417.75,417.96,75814.0,418.002,398
2025-01-31 12:40:00-05:00,417.93,418.13,417.8,418.02,46524.0,417.945,299
2025-01-31 12:41:00-05:00,418.08,418.27,417.8,418.05,63036.0,418.077,379
2025-01-31 12:42:00-05:00,418.06,418.23,417.75,417.79,62662.0,418.014,362
2025-01-31 12:43:00-05:00,417.83,418.6,417.75,418.54,78657.0,418.324,432
2025-01-31 12:44:00-05:00,418.54,418.6,418.01,418.16,46645.0,418.331,301
2025-01-31 12:45:00-05:00,418.22,418.49,417.99,418.06,58672.0,418.166,276
2025-01-31 12:46:00-05:00,418.1,418.33,418.06,418.29,29030.0,418.198,195
2025-01-31 12:47:00-05:00,418.18,418.55,418.05,418.54,45653.0,418.275,255
2025-01-31 12:48:00-05:00,418.52,418.58,418.21,418.31,41616.0,418.412,204
2025-01-31 12:49:00-05:00,418.34,419.04,418.3,418.82,99314.0,418.816,560
2025-01-31 12:50:00-05:00,418.82,419.1,418.73,419.1,53664.0,418.976,301
2025-01-31 12:51:00-05:00,419.04,419.16,418.9,418.94,53881.0,419.033,328
2025-01-31 12:52:00-05:00,418.98,419.5,418.94,419.44,80884.0,419.225,453
2025-01-31 12:53:00-05:00,419.48,419.5,419.16,419.19,74791.0,419.38,410
2025-01-31 12:54:00-05:00,419.19,419.38,419.01,419.18,39557.0,419.153,225
2025-01-31 12:55:00-05:00,419.11,419.25,418.85,419.17,85067.0,419.034,499
2025-01-31 12:56:00-05:00,419.11,419.23,418.91,419.15,46475.0,419.077,266
2025-01-31 12:57:00-05:00,419.11,419.16,418.83,419.14,36932.0,419.001,231
2025-01-31 12:58:00-05:00,419.09,419.4,419.02,419.29,58385.0,419.225,364
2025-01-31 12:59:00-05:00,419.32,419.41,419.1,419.13,41784.0,419.257,237
2025-01-31 13:00:00-05:00,419.17,419.36,418.74,418.93,61631.0,419.041,332
2025-01-31 13:01:00-05:00,418.98,419.5,418.93,419.39,84183.0,419.286,450
2025-01-31 13:02:00-05:00,419.37,419.5,419.22,419.44,65498.0,419.378,338
2025-01-31 13:03:00-05:00,419.41,419.82,419.36,419.77,107837.0,419.667,564
2025-01-31 13:04:00-05:00,419.76,419.79,419.37,419.47,65908.0,419.668,401
2025-01-31 13:05:00-05:00,419.45,419.6,419.19,419.29,48973.0,419.354,288
2025-01-31 13:06:00-05:00,419.24,419.4,419.12,419.24,37252.0,419.271,202
2025-01-31 13:07:00-05:00,419.3,419.3,418.82,419.0,68513.0,419.025,362
2025-01-31 13:08:00-05:00,419.03,419.03,418.52,418.72,62991.0,418.764,317
2025-01-31 13:09:00-05:00,418.67,419.15,418.62,419.05,66890.0,418.862,327
2025-01-31 13:10:00-05:00,419.0,419.49,418.99,419.33,64292.0,419.271,331
2025-01-31 13:11:00-05:00,419.34,419.55,419.21,419.37,50177.0,419.407,243
2025-01-31 13:12:00-05:00,419.37,419.58,419.21,419.3,41316.0,419.349,207
2025-01-31 13:13:00-05:00,419.34,419.73,419.2,419.66,46751.0,419.502,234
2025-01-31 13:14:00-05:00,419.65,419.75,419.26,419.33,41994.0,419.49,203
2025-01-31 13:15:00-05:00,419.3,419.48,419.16,419.44,38732.0,419.318,229
2025-01-31 13:16:00-05:00,419.46,419.47,419.2,419.26,24827.0,419.32,121
2025-01-31 13:17:00-05:00,419.26,419.39,419.24,419.3,20847.0,419.298,112
2025-01-31 13:18:00-05:00,419.27,419.5,419.12,419.43,57553.0,419.261,356
2025-01-31 13:19:00-05:00,419.52,419.62,417.51,417.78,180924.0,418.883,1091
2025-01-31 13:20:00-05:00,417.62,418.32,416.41,417.65,242085.0,417.315,1144
2025-01-31 13:21:00-05:00,417.55,417.64,416.55,417.47,148237.0,416.957,654
2025-01-31 13:22:00-05:00,417.27,418.45,417.27,417.68,143678.0,418.094,532
2025-01-31 13:23:00-05:00,417.61,417.88,416.93,417.29,98287.0,417.385,456
2025-01-31 13:24:00-05:00,417.18,417.4,416.25,417.34,244697.0,416.664,783
2025-01-31 13:25:00-05:00,417.22,417.41,416.38,416.81,135765.0,416.781,547
2025-01-31 13:26:00-05:00,416.77,416.87,415.84,416.29,171701.0,416.245,737
2025-01-31 13:27:00-05:00,416.36,416.98,416.21,416.63,118609.0,416.665,427
2025-01-31 13:28:00-05:00,416.67,416.92,416.13,416.13,84336.0,416.517,371
2025-01-31 13:29:00-05:00,416.31,416.34,415.81,415.9,84209.0,416.047,385
2025-01-31 13:30:00-05:00,415.86,415.95,415.33,415.89,190647.0,415.616,883
2025-01-31 13:31:00-05:00,415.82,416.35,415.66,416.18,104378.0,416.029,449
2025-01-31 13:32:00-05:00,416.25,416.96,416.06,416.09,142066.0,416.446,603
2025-01-31 13:33:00-05:00,416.23,416.4,415.09,415.27,153575.0,415.591,672
2025-01-31 13:34:00-05:00,415.16,415.26,413.74,413.74,290882.0,414.443,1278
2025-01-31 13:35:00-05:00,413.7,414.81,413.44,414.6,206411.0,414.216,895
2025-01-31 13:36:00-05:00,414.7,414.7,413.65,414.17,130541.0,414.108,588
2025-01-31 13:37:00-05:00,414.03,414.03,412.61,412.77,262111.0,413.114,1203
2025-01-31 13:38:00-05:00,412.77,413.46,412.0,412.56,311411.0,412.547,1455
2025-01-31 13:39:00-05:00,412.65,413.6,412.56,413.16,187843.0,413.222,774
2025-01-31 13:40:00-05:00,413.21,413.75,412.82,413.64,177632.0,413.343,700
2025-01-31 13:41:00-05:00,413.61,414.45,413.45,413.63,187184.0,414.016,829
2025-01-31 13:42:00-05:00,413.54,414.38,413.4,414.29,116100.0,413.984,529
2025-01-31 13:43:00-05:00,414.3,414.75,413.3,413.53,171561.0,414.086,755
2025-01-31 13:44:00-05:00,413.53,413.8,412.66,413.49,171386.0,413.206,754
2025-01-31 13:45:00-05:00,413.54,413.94,413.22,413.78,83593.0,413.56,291
2025-01-31 13:46:00-05:00,413.69,413.87,413.0,413.44,77700.0,413.515,326
2025-01-31 13:47:00-05:00,413.44,414.36,413.37,414.28,118510.0,413.745,586
2025-01-31 13:48:00-05:00,414.3,414.31,413.64,413.91,81259.0,413.999,447
2025-01-31 13:49:00-05:00,413.97,413.99,413.15,413.36,81816.0,413.443,379
2025-01-31 13:50:00-05:00,413.28,413.87,413.0,413.01,105052.0,413.203,383
2025-01-31 13:51:00-05:00,413.01,413.49,412.5,412.96,120408.0,412.86,566
2025-01-31 13:52:00-05:00,412.89,413.18,412.28,412.44,88065.0,412.574,401
2025-01-31 13:53:00-05:00,412.47,412.54,411.0,411.42,296248.0,411.539,1338
2025-01-31 13:54:00-05:00,411.42,411.84,410.7,411.81,184551.0,411.233,842
2025-01-31 13:55:00-05:00,411.82,412.78,411.58,412.38,140015.0,412.279,619
2025-01-31 13:56:00-05:00,412.4,412.77,412.18,412.7,71926.0,412.516,312
